current_time,request_id,agent_type,speak_duration,asr_duration,tts_req_duration,total_duration,llm_generation_time,speech_generation_time,llm_client_name
1724180644,738817,Agent2,1.226761,0.09405327,1.349207,1.464749,398.315,938.566,llamafile_llama3
1724180663,147468,Agent2,6.076061,0.09371376,1.38052,1.500387,385.539,977.718,llamafile_llama3
1724180743,46828,Agent2,2.034104,0.07880497,1.088587,1.188586,367.48,701.617,llamafile_llama3
1724180759,569052,Agent2,3.358456,0.07918739,1.615538,1.716839,463.723,1131.575,llamafile_llama3
1724180775,633068,Agent2,1.913361,0.06570816,1.258327,1.344002,308.125,934.774,llamafile_llama3
1724180787,655868,Agent2,1.009998,0.1453247,1.174141,1.340389,336.374,819.03,llamafile_llama3
1724180798,63180,Agent2,0.6670761,0.1323547,1.134804,1.285278,324.764,795.76,llamafile_llama3
1724181107,780830,Agent2,3.112026,0.09429741,1.474621,1.58897,399.481,1058.154,llamafile_llama3
1724181120,410747,Agent2,0.47686,0.1506042,1.061165,1.23584,401.442,652.584,llamafile_llama3
1724181133,818541,Agent2,0.5793648,0.1327667,1.472271,1.62394,466.725,995.123,llamafile_llama3
1724181976,838011,Agent1,1.433473,0.157485,0.9588079,1.133799,279.871,662.713,llamafile_llama3
1724182683,452586,Agent1,1.300608,0.1576233,0.9480762,1.124058,258.157,671.676,llamafile_llama3
1724182693,951143,Agent1,1.356079,0.06869888,1.486477,1.572044,657.184,810.974,llamafile_llama3
1724182719,350163,Agent1,1.507751,0.1538506,1.389729,1.560921,535.283,846.029,llamafile_llama3
1724182755,997691,Agent1,2.078362,0.07198334,1.411919,1.50209,600.964,802.524,llamafile_llama3
1724182874,64173,Agent1,1.216166,0.1552591,0.947588,1.120094,258.895,671.371,llamafile_llama3
1724182887,123244,Agent1,1.810438,0.06872749,1.241089,1.328091,530.657,702.915,llamafile_llama3
1724182928,717765,Agent1,1.010786,0.1547804,0.929904,1.10149,274.918,636.419,llamafile_llama3
1724182944,65892,Agent1,2.425247,0.07312393,1.310421,1.400427,485.099,807.004,llamafile_llama3
1724183007,989917,Agent1,2.049583,0.2813439,1.16945,1.46563,384.866,771.497,llamafile_llama3
1724183020,318736,Agent1,1.324238,0.177536,1.625116,1.813221,491.832,1122.828,llamafile_llama3
1724183108,858495,Agent1,1.084721,0.160408,1.144341,1.316874,302.964,835.146,llamafile_llama3
1724183120,150206,Agent1,3.821074,0.2032413,1.014851,1.228548,344.771,657.295,llamafile_llama3
1724183168,457461,Agent1,0.9271665,0.08886719,1.230831,1.335102,420.194,802.242,llamafile_llama3
1724183181,551669,Agent2,1.265163,0.07332993,1.625084,1.705378,438.412,1183.03,llamafile_llama3
1724183467,269742,Agent1,1.003183,0.08588886,0.9713583,1.087208,264.397,693.76,llamafile_llama3
1724183475,531448,Agent1,2.203629,0.07860184,1.309753,1.415653,494.162,790.398,llamafile_llama3
1724183491,321513,Agent1,2.11792,0.1087685,1.72884,1.861988,852.228,857.102,llamafile_llama3
1724183518,699347,Agent1,0.9864349,0.08448029,1.394707,1.503544,614.385,753.581,llamafile_llama3
1724183544,738176,Agent2,1.057243,0.1121063,1.140694,1.281662,391.448,727.573,llamafile_llama3
1724183557,368564,Agent2,1.463409,0.08059692,1.252365,1.356796,374.839,848.597,llamafile_llama3
1724183571,866930,Agent3,1.451836,0.08712769,1.012299,1.133804,313.168,674.314,llamafile_llama3
1724183622,605155,Agent1,1.113509,0.1570382,0.9574208,1.129291,249.775,690.578,llamafile_llama3
1724183633,700351,Agent1,1.044102,0.1250076,0.9345436,1.07556,256.282,665.572,llamafile_llama3
1724183683,431590,Agent2,1.059471,0.1515427,0.9897003,1.156647,256.917,721.076,llamafile_llama3
1724183704,691469,Agent3,1.731056,0.16539,1.850357,2.030273,656.058,1184.341,llamafile_llama3
1724183733,52032,Agent1,1.062781,0.1615043,1.590224,1.78038,442.495,1134.47,llamafile_llama3
1724183758,349765,Agent2,1.05703,0.1544399,1.935858,2.10466,465.832,1463.461,llamafile_llama3
1724183775,295663,Agent3,3.010815,0.1669044,1.253994,1.449139,477.017,753.009,llamafile_llama3
1724183865,227587,Agent1,1.064299,0.1659889,2.216648,2.410921,412.943,1790.876,llamafile_llama3
1724197298,649641,Agent1,3.328877,0.3384924,1.35135,1.709151,390.011,945.081,llamafile_llama3
1724197453,963377,Agent1,1.485881,0.1996584,1.295513,1.513332,354.539,921.145,llamafile_llama3
